station_numbeer,zone_code,zone_name,district_code,district_name,block_code,block_name,panchayat_code,panchayat_name,location,longitude,latitude,station_type,agency,installed_position,date_of_comm,is_problematic,station_premises_on,vendor_engineer_name,User_ID,station_premises_condition,last_visited_date
61110001,56,North West,11,West Champaran,110001,Bagha-II,,,Bagha-II,84.058,27.135,AWS,Obel,On Ground,,,Government Land,MANISH YADAV,16,No-Issue,09-01-2024
61110002,56,North West,11,West Champaran,110002,Ramnagar,,,Ramnagar,84.324,27.163,AWS,Obel,On Ground,,,Government Land,manish yadav,16,No-Issue,06-03-2024
61110003,56,North West,11,West Champaran,110003,Gaunaha,,,Gaunaha,84.524,27.286,AWS,Obel,On Ground,,,,,,,
61110004,56,North West,11,West Champaran,110004,Mainatand,,,Mainatand,84.647,27.102,AWS,Obel,On Ground,,,Government Land,manish yadav,16,No-Issue,28-03-2024
61110005,56,North West,11,West Champaran,110005,Narkatiaganj,,,Narkatiaganj,84.466,27.097,AWS,Obel,On Ground,,,Government Land,manish yadav,16,No-Issue,06-03-2024
61110006,56,North West,11,West Champaran,110006,Lauriya,,,Lauriya,84.411,26.994,AWS,Obel,On Ground,,,Government Land,pappu,16,No-Issue,06-03-2024
61110007,56,North West,11,West Champaran,110007,Bagha-I,,,Bagha-I,84.07,27.1,AWS,Obel,On Ground,,,Government Land,Manish kumar,16,No-Issue,15-09-2023
61110008,56,North West,11,West Champaran,110008,Piprasi,,,Piprasi,84.023,27.06,AWS,Obel,On Ground,,,,,,,
61110009,56,North West,11,West Champaran,110009,Madhubani,,,Madhubani,84.059,26.926,AWS,Obel,On Ground,,,Government Land,MANISH YADAV,16,No-Issue,09-01-2024
61110010,56,North West,11,West Champaran,110010,Bhitaha,,,Bhitaha,84.138,26.893,AWS,Obel,On Ground,,,Private Land,Abhay Kumar,3,Damaged,28-08-2023
61110011,56,North West,11,West Champaran,110011,Thakrahan,,,Thakrahan,84.265,26.77,AWS,Obel,On Ground,,,Government Land,Manish yadav,16,No-Issue,14-03-2024
61110012,56,North West,11,West Champaran,110012,Yogapatti,,,Yogapatti,84.372,26.89,AWS,Obel,On Ground,,,Government Land,manish yadav,16,No-Issue,07-03-2024
61110013,56,North West,11,West Champaran,110013,Chanpatia,,,Chanpatia,84.537,26.945,AWS,Obel,On Ground,,,Government Land,manish yadav,16,No-Issue,07-03-2024
61110014,56,North West,11,West Champaran,110014,Sikta,,,Sikta,84.684,27.023,AWS,Obel,On Ground,,,Government Land,Manish yadav,16,No-Issue,20-03-2024
61110015,56,North West,11,West Champaran,110015,Majhaulia,,,Majhaulia,84.619,26.801,AWS,Obel,On Ground,,,Government Land,Manish yadav,16,No-Issue,14-03-2024
61110016,56,North West,11,West Champaran,110016,Betiah,,,Betiah,84.52,26.8,AWS,Obel,On Ground,,,,,,,
61110017,56,North West,11,West Champaran,110017,Bairia,,,Bairia,84.448485,26.753481,AWS,Obel,On Ground,,,Government Land,manish yadav,16,No-Issue,07-03-2024
